,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,31000,31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022,31052,31100,31101,31102,31103,31104,31105,31106,31107,31108,31109,31110,31111,31112,31113,31115,31116,31200,31201,31202,31203,31204,31205,31206,31207,31208,31209,31211,31212,31213,31214,31215,31216,31217,31218,31219,31220,31221,31222,31223,31224,31225,31226,31227,31228,31229,31230,31231,31232,31233,31235,31236,31237,31238,31239,31241,31242,31244,31245,31246,31261,31262,31266,31300,31301,31302,31303,31304,31305,31307,31400,31401,31402,31404,31500,31501,31502,31503,31504,31505,31506,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31610,31611,31613,31614,31615,31616,31617,31618,31619,31620,31621,31622,31623,31624,31625,31626,31700,31701,31702,31703,31704,31705,31706,31707,31708,31801,31802,31804,31805,31806,total_trips,Busiest Station Per Day
0,1/1/2011,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0,6,2,1,2,1,2,7,2,6,4,6,2,0,0,0,0,0,0,0,0,0,0,0,8,28,10,28,40,12,18,19,7,10,17,22,5,0,0,0,24,29,17,22,16,9,5,8,5,0,0,8,11,25,15,2,15,3,26,9,13,15,17,4,17,1,21,44,25,0,0,0,0,6,2,7,8,0,0,0,0,0,0,0,0,0,3,2,5,2,3,7,0,18,4,3,0,1,0,2,10,1,0,0,9,0,24,9,6,11,15,8,2,6,7,17,19,0,0,15,0,6,11,15,0,7,13,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,959,31228
1,2/1/2011,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,0,1,1,0,2,1,3,6,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,20,15,15,30,22,12,20,8,6,10,17,2,0,0,0,22,27,15,21,4,6,1,10,11,4,5,6,3,15,4,1,2,8,14,3,10,12,11,7,5,2,7,13,24,0,0,0,0,13,0,12,9,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,16,15,1,0,0,1,1,9,2,2,0,14,1,45,4,7,11,7,8,0,3,8,6,17,0,0,8,1,11,18,11,0,10,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,781,31602
2,3/1/2011,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0,3,2,3,2,3,6,16,1,11,5,5,5,3,0,0,0,0,0,0,0,0,0,0,33,53,16,19,38,28,18,16,13,11,34,23,4,0,0,0,45,45,14,17,10,17,13,7,8,0,1,26,31,35,9,17,14,22,19,26,17,16,17,23,5,4,18,17,29,0,0,0,0,18,4,14,19,0,0,0,0,0,0,0,0,0,5,2,6,4,1,6,0,14,10,2,0,1,2,0,13,1,7,0,14,0,37,12,11,10,4,2,5,10,12,6,22,0,0,6,1,16,20,28,0,14,29,17,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1301,31101
3,4/1/2011,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0,1,1,4,1,1,2,22,2,10,10,7,7,2,0,0,0,0,0,0,0,0,0,0,32,58,12,29,40,29,25,14,16,11,39,23,3,0,0,0,52,52,20,31,14,20,16,13,18,0,0,21,36,38,6,13,20,26,19,23,28,18,21,29,16,5,20,31,29,0,0,0,0,20,8,22,19,0,0,0,0,0,0,0,0,0,4,4,6,3,0,9,0,16,17,1,0,2,2,0,21,2,4,0,23,1,27,14,16,12,10,3,9,7,10,10,41,0,0,7,0,19,32,29,0,15,31,22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1536,31101
4,5/1/2011,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0,2,2,5,4,2,3,20,2,8,5,10,1,3,0,0,0,0,0,0,0,0,0,0,31,48,15,35,58,35,20,29,15,17,39,28,5,0,0,0,47,48,20,29,18,23,16,9,15,0,1,25,36,40,11,12,14,32,25,21,37,23,14,33,15,4,31,23,27,0,0,0,0,5,8,27,18,0,0,0,0,0,0,0,0,0,7,4,8,8,1,5,0,16,15,3,0,1,4,0,16,0,3,0,15,2,38,17,10,16,8,6,9,5,9,9,31,0,0,7,1,21,21,26,0,18,41,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1571,31104
5,6/1/2011,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0,3,4,5,1,1,0,22,1,12,7,5,6,2,0,0,0,0,0,0,0,0,0,0,22,65,17,21,56,25,28,24,16,11,39,21,4,0,0,0,62,43,18,29,19,35,13,7,19,0,1,23,37,40,10,14,18,32,16,21,34,18,14,32,12,2,29,24,29,0,0,0,0,8,12,12,26,0,0,0,0,0,0,0,0,1,8,3,10,9,1,9,0,23,16,4,0,2,3,0,15,2,2,0,20,1,31,17,14,20,2,3,11,7,7,10,34,0,0,9,1,14,34,20,0,19,36,21,0,0,0,0,0,2,0,1,0,0,0,1,1,0,2,0,1573,31101
6,7/1/2011,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,2,1,4,3,3,0,1,22,1,6,5,3,3,4,0,0,0,0,0,0,0,0,0,0,19,44,19,25,57,31,19,24,6,18,31,21,3,0,0,0,49,37,34,33,9,34,17,11,13,0,3,24,46,42,6,21,16,27,24,16,22,23,18,21,9,6,21,25,32,0,0,0,0,24,4,19,24,0,0,0,0,0,0,0,0,0,4,4,9,6,1,7,0,13,12,4,0,1,2,0,15,1,4,0,17,2,31,14,8,13,6,7,7,5,11,11,32,0,0,7,0,19,39,22,0,15,31,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,31104
7,8/1/2011,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,2,4,1,3,2,0,2,3,3,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,5,30,18,26,44,18,19,32,4,13,23,26,8,0,0,0,35,43,23,33,2,7,1,6,5,0,0,8,4,39,7,7,7,3,5,0,15,8,16,5,10,1,2,28,26,0,0,0,0,2,5,8,5,0,0,0,0,0,0,0,0,0,6,2,5,2,3,5,0,15,12,3,0,2,0,1,20,1,1,0,6,3,31,9,9,4,6,4,3,5,4,16,18,0,0,14,3,8,20,10,0,9,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,939,31104
8,9/1/2011,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,2,2,5,2,1,0,3,2,1,0,7,3,1,2,0,0,0,0,0,0,0,0,0,0,3,21,18,24,30,20,7,30,9,7,17,15,1,0,0,0,37,39,16,21,6,8,0,1,6,0,1,6,9,32,1,2,10,3,1,1,7,6,9,3,6,1,3,16,23,0,0,0,0,4,5,14,7,0,0,0,0,0,0,0,0,0,7,4,3,7,0,6,0,13,9,4,0,2,0,1,12,1,4,0,9,2,20,5,6,6,8,14,1,4,8,7,26,0,0,12,3,9,19,8,0,9,11,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,802,31201
